siteID,latitude,longitude,mat.c
SUGG,29.68705,-82.01617,20
CRAM,46.21111,-89.47825,3
BARC,29.67647,-82.00909,20
PRPO,47.12999,-99.25055,5
LIRO,45.998269,-89.704767,4.4
TOOK,68.630692,-149.610636,-4
PRLA,47.15909,-99.11388,5
FLNT,31.18542,-84.4374,19.5
TOMB,31.8521,-88.16107,18
BLWA,32.54153,-87.79815,18
TECR,36.95528,-119.02699,7
HOPB,42.47179,-72.32963,8
MART,45.79125,-121.93196,8
REDB,40.78374,-111.79765,9.5
SYCA,33.74906,-111.5069,21
COMO,40.03496,-105.54487,-0.3
BLDE,44.95011,-110.58715,0.2
PRIN,33.37859,-97.78226,18
CARI,65.15306,-147.50246,-1
OKSR,68.66975,-149.14302,-4
ARIK,39.75825,-102.4471,11
CUPE,18.11352,-66.98676,25
POSE,38.89332,-78.14678,13
KING,39.10506,-96.60336,12
MAYF,32.95966,-87.40813,17
WALK,35.95947,-84.28041,15.3
WLOU,39.89137,-105.9154,-0.3
MCDI,38.94428,-96.44197,12
LEWI,39.09564,-77.98322,12
BLUE,34.44422,-96.6242,16
BIGC,37.058,-119.256,7
MCRA,44.2596,-122.16555,10
GUIL,18.1741,-66.79851,25
LECO,35.69043,-83.50379,13.4
